"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.901929542E0,-1.210886441E0,-6.179034616E0,-1.054598845E0,6.384269220E0
2.911901542E0,-6.108188581E-1,-6.208656026E0,-1.414668923E0,6.397014732E0
2.921873750E0,-1.898263478E-1,-6.186894443E0,-1.983696854E0,6.499903853E0
2.931844750E0,3.822547066E-1,-6.343959426E0,-2.606679675E0,6.869258969E0
2.941815750E0,1.210035671E0,-6.654367055E0,-2.994774580E0,7.396854873E0
2.951786750E0,2.012885277E0,-6.803999643E0,-2.972887283E0,7.693125312E0
2.961757750E0,2.747711885E0,-6.554408319E0,-2.724438797E0,7.611357026E0
2.971728750E0,3.069101170E0,-6.309531605E0,-2.341716606E0,7.396837684E0
2.981699750E0,3.279328453E0,-6.139330852E0,-1.572527666E0,7.135700503E0
2.991670750E0,3.482508087E0,-5.871076385E0,-4.322162408E-1,6.839898492E0
3.001641750E0,3.482029785E0,-5.695589164E0,3.885854870E-1,6.686947438E0
3.011612750E0,3.208750806E0,-5.214720581E0,7.840274191E-1,6.172851162E0
3.021583750E0,3.118951607E0,-4.526357118E0,1.016220645E0,5.590033299E0
3.031554750E0,3.148282410E0,-4.014348019E0,1.026783348E0,5.203936605E0
3.041525750E0,3.157170762E0,-3.615919037E0,1.440158105E0,5.011651731E0
3.051496750E0,3.068842138E0,-3.444373716E0,1.774742802E0,4.942794187E0
3.061467750E0,3.394381776E0,-3.366660127E0,2.071180848E0,5.210184081E0
3.071438750E0,3.984154167E0,-3.177631924E0,2.350197700E0,5.611974545E0
3.081409750E0,4.335869451E0,-2.910162446E0,2.577771918E0,5.823548524E0
3.091380750E0,4.566070238E0,-2.708048759E0,2.751817800E0,5.979550711E0
3.101351750E0,5.042283268E0,-2.350277222E0,2.886245288E0,6.267282939E0
3.111323750E0,5.618084321E0,-1.666343025E0,2.835347907E0,6.509897716E0
3.121294750E0,5.956887199E0,-7.566215193E-1,2.705130706E0,6.585948175E0
